"","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","Q_RecaptchaScore","Q_RelevantIDDuplicate","Q_RelevantIDDuplicateScore","Q_RelevantIDFraudScore","Q_RelevantIDLastStartDate","settlement","ethnicity","ethnicity_5_TEXT","vote","english","regime","finance","generic_partisans_1","generic_partisans_2","generic_partisans_3","generic_partisans_4","generic_partisans_5","generic_partisans_6","generic_partisans_7","generic_partisans_8","party_choice","party_choice_8_TEXT","negative","negative_party","negative_party_8_TEXT","negative_specific_1","negative_specific_2","cross_pressured_part_1","cross_pressured_part_2","cross_pressured_part_3","cross_pressured_part_4","cross_pressured_part_5","cross_group_ster_1","cross_group_ster_2","cross_group_ster_3","cross_group_ster_4","cross_group_ster_5","cross_policy_1","cross_policy_2","cross_policy_3","cross_policy_4","cross_policy_5","Check","open_ingroup","Q136_First.Click","Q136_Last.Click","Q136_Page.Submit","Q136_Click.Count","sypm_ingroup_1","compromise_ingroup","compromising_ingroup","open_outgroup","Q137_First.Click","Q137_Last.Click","Q137_Page.Submit","Q137_Click.Count","symp_outgroup_1","compromise_outgroup","compromising_outgrou","training_6","training_7","education_6","education_7","education_8","urban_rural_6","urban_rural_7","urban_rural_8","class_6","class_7","class_8","ethnicity_6","ethnicity_7","ethnicity_8","communism_6","communism_7","communism_8","left_right","issues_econ1","issues_econ2","issues_econ3","issues_gender1","issues_gender2","issues_lgbt1","issues_lgbt2","issues_EU1","issues_immigr1","issues_immigr2","issues_environment","issues_russia1","issues_russia2","interest","treat_feeling","id","ANO","ODS","Pirati","SPD","KSCM","ANO2","ODS2","Pirati2","SPD2","KSCM2","ANO3","ODS3","Pirati3","SPD3","KSCM3","Fact1","Fact2","Fact3","Fact4","Q_AmbiguousTextPresent","Q_AmbiguousTextQuestions","Q_StraightliningCount","Q_StraightliningPercentage","Q_StraightliningQuestions","Q_UnansweredPercentage","Q_UnansweredQuestions","resp_id","Region","Region_lab","Gender","Gender_lab","Age","Residence","Residence_cat","Education","Education_lab","educ_in","educ_favoritism","urbrur_in","urbrur_favoritism","class_in","class_favoritism","ethn_in","ethn_favoritism","reg_in","reg_favoritism","cohorts","party","status"
"1","2024-11-01 15:35:11","2024-11-01 15:43:40","0","100","509","1","2024-11-01 15:43:42","R_8YWZCGjcRk3Jz3Y","anonymous","CS","1","","0","0","",0,1,"","1","Very advanced knowledge",0,1,"10","6","4","5","4","4","5","4","1","","1","2","","3","3","9","4","","","","3","2","","","","8","6","","","","1","Vytrvalý ke všemu. Postoj je všemu co má logiku ","5.659","19.728","38.333","7","7","11","5","Povaha a chování k lidem. Postoj k pozitivite","1.212","29.132","38.271","4","7","11","5","0","10",5,10,15,5,5,20,5,15,10,10,15,5,5,5,20,"3","5","4","5","4","4","4","5","4","4","4","4","4","5","2","","38286b20-985e-11ef-9675-6f6af5cbf654","s vysokoškolským vzděláním","s nižším příjmem","se základním vzděláním","s vysokým příjmem","křesťanského přesvědčení","se základním vzděláním","se základním vzděláním","se vysokoškolským vzděláním","s nízkým příjmem","ateistického přesvědčení",", který si myslí, že vstup do EU Česku uškodil",", který si myslí, že stát by se měl postarat o blahobyt každého",", který si myslí, že gayové a lesby nemají mít práva v adopci dětí",", který si myslí, že gayové a lesby by měli mít plná práva v adopci dětí",", který si myslí, že gayové a lesby by měli mít plná práva v adopci dětí","","","","","0","","1","0.2","QID68","0","","38286b20-985e-11ef-9675-6f6af5cbf654",1,"Hlavní město Praha ",1,"Muž",37,1241664,"100.000+",0,"Střední bez maturity",5,-0.166666666666667,5,-0.166666666666667,15,0.166666666666667,10,0,5,-0.166666666666667,"35 to 44","ANO","Medium"
"2","2024-11-01 15:35:10","2024-11-01 15:47:48","0","100","757","1","2024-11-01 15:47:48","R_8cbkJWBM3ovdnVv","anonymous","CS","1","","0","25","",0,1,"","1","Very advanced knowledge",1,2,"2","5","3","2","4","5","4","3","2","","1","1","","4","3","2","6","","","","2","5","","","","2","4","","","","1","většinou jsou to lidé se kterými mám společného více než jen politické přesvědčení. Aktivní, úspěšní, 
","5.413","5.413","111.587","1","7","10","3","Jsou to prostě jen lidi s odlišným názorem","10.098","51.645","75.456","5","4","10","2","0","10",10,15,5,10,10,10,10,10,10,15,10,5,10,10,10,"7","5","2","3","3","2","2","3","2","3","4","3","2","4","2","2","4d286380-985e-11ef-8f37-61b7354123e0","s vysokoškolským vzděláním","s nižším příjmem","se základním vzděláním","s vysokým příjmem","křesťanského přesvědčení","ateistického přesvědčení","se základním vzděláním","z většího města","s nízkým příjmem","s nízkým příjmem",", který si myslí, že stát každý je sám zopodvědný za svůj blahobyt, a ne stát",", který si myslí, že gayové a lesby by měli mít plná práva v adopci dětí",", který si myslí, že vstup do EU Česku uškodil",", který si myslí, že stát každý je sám zopodvědný za svůj blahobyt, a ne stát",", který si myslí, že vstup do EU Česku prospěl","19 % voličů ANO má vysokoškolské vzdělání, ale 7 % voličů má základní vzdělání","58 % voličů ANO je nevěřících, ale 40 % voličů se identifikuje jako křesťané","25 % voličů ANO je z velkých měst, ale 23 % voličů je z malých vesnic","25 % voličů ANO patří k pětině obyvatel s největším příjmem, ale 17 % voličů k pětině obyvatel s nejmenším příjmem","0","","0","0","","0","","4d286380-985e-11ef-8f37-61b7354123e0",11,"Jihomoravský ",1,"Muž",56,378965,"100.000+",1,"Střední s maturitou, vyšší odborné",15,0.166666666666667,10,0,10,0,15,0.166666666666667,10,0,"45 to 60","ODS","High"
"3","2024-11-01 15:42:15","2024-11-01 15:49:17","0","100","421","1","2024-11-01 15:49:18","R_2dLzeylrMxEul48","anonymous","CS","1","","0","0","",0,1,"","1","No knowledge",0,0,"10","0","0","7","7","0","0","0","1","","1","2","","3","3","10","0","","","","8","0","","","","10","3","","","","1","Jsou super, dá se s nima dohodnout ","6.001","17.287","18.048","2","10","11","5","Mě tohle lidé vůbec nezajímají ","9.3","9.3","19.101","1","0","9","3","0","10",3,8,19,14,12,4,1,13,16,19,8,3,21,2,7,"10","1","5","5","1","1","1","5","5","1","5","1","1","4","2","","59803bd0-985e-11ef-817c-7bbe7f76ef4b","s vysokým příjmem","s vysokoškolským vzděláním","se základním vzděláním","s vysokým příjmem","s vysokoškolským vzděláním","ateistického přesvědčení","se základním vzděláním","se vysokoškolským vzděláním","s nízkým příjmem","s nízkým příjmem",", který si myslí, že stát každý je sám zopodvědný za svůj blahobyt, a ne stát",", který si myslí, že stát by se měl postarat o blahobyt každého",", který si myslí, že vstup do EU Česku uškodil",", který si myslí, že vstup do EU Česku prospěl",", který si myslí, že vstup do EU Česku prospěl","","","","","0","","1","0.2","QID68","0","","59803bd0-985e-11ef-817c-7bbe7f76ef4b",13,"Zlínský ",2,"Žena",39,5499,"5.000 - 19.999",1,"Střední s maturitou, vyšší odborné",8,-0.0666666666666667,14,0.133333333333333,1,-0.3,19,0.3,21,0.366666666666667,"35 to 44","ANO","Medium"
"4","2024-11-01 15:41:52","2024-11-01 15:52:38","0","100","645","1","2024-11-01 15:52:38","R_8qQhZrKE0tRzz1Q","anonymous","CS","1","","0","0","",1,1,"","1","Advanced knowledge",2,1,"1","8","4","2","2","5","8","8","2","","1","1","","3","3","5","0","","","","0","6","","","","7","10","","","","1","Vysokoškoláci či lidé s maturitním vzděláním s průměrnými či nprůměrnými příjmy","5.85","5.85","28.202","1","8","8","2","Nejvíce se mé názory liší od lidí důchodového věku s podprůměrnými příjmy, či lidí se základním vzděláním s podprůměrnými příjmy","8.845","8.845","47.576","1","2","8","1","0","10",1,15,14,10,10,10,10,10,10,7,20,3,2,8,20,"9","3","3","2","2","1","5","1","3","2","2","1","3","4","2","10","5535d840-985e-11ef-a5ac-7b6c0d19746a","s vysokým příjmem","s nižším příjmem","z malé vesnice","s vysokým příjmem","křesťanského přesvědčení","s nízkým příjmem","se základním vzděláním","z většího města","s nízkým příjmem","se základním vzděláním",", který si myslí, že gayové a lesby by měli mít plná práva v adopci dětí",", který si myslí, že gayové a lesby by měli mít plná práva v adopci dětí",", který si myslí, že vstup do EU Česku uškodil",", který si myslí, že gayové a lesby by měli mít plná práva v adopci dětí",", který si myslí, že vstup do EU Česku prospěl","19 % voličů ANO má vysokoškolské vzdělání, ale 7 % voličů má základní vzdělání","58 % voličů ANO je nevěřících, ale 40 % voličů se identifikuje jako křesťané","25 % voličů ANO je z velkých měst, ale 23 % voličů je z malých vesnic","25 % voličů ANO patří k pětině obyvatel s největším příjmem, ale 17 % voličů k pětině obyvatel s nejmenším příjmem","0","","1","0.2","QID68","0","","5535d840-985e-11ef-a5ac-7b6c0d19746a",14,"Moravskoslezský ",2,"Žena",33,30988,"20.000 - 99.999",1,"Střední s maturitou, vyšší odborné",15,0.166666666666667,10,0,10,0,7,-0.1,20,0.333333333333333,"Below 35","ODS","Medium"
"5","2024-11-01 15:35:18","2024-11-01 15:53:11","0","100","1073","1","2024-11-01 15:53:12","R_80Bfuw18cVJOOvD","anonymous","CS","1","","0","0","",0,1,"","1","Moderate knowledge",2,2,"0","7","10","0","0","6","5","4","5","","1","3","","3","3","","","10","0","","","","10","0","","","","0","5","","1","Mají rozhled a vidí do budoucna.","12.083","12.083","53.066","1","10","11","5","Primitivové, kteří nevidí souvislosti.","18.392","71.834","74.874","2","0","1","1","10","0",10,10,10,15,10,5,5,10,15,10,10,10,0,0,30,"10","4","2","3","1","1","2","3","1","4","2","3","5","2","2","0","364ac110-985e-11ef-a16f-2db144be007d","křesťanského přesvědčení","s vysokoškolským vzděláním","z malé vesnice","s vysokým příjmem","s vysokoškolským vzděláním","ateistického přesvědčení","se základním vzděláním","se vysokoškolským vzděláním","s nízkým příjmem","s nízkým příjmem",", který si myslí, že stát každý je sám zopodvědný za svůj blahobyt, a ne stát",", který si myslí, že vstup do EU Česku prospěl",", který si myslí, že vstup do EU Česku uškodil",", který si myslí, že gayové a lesby by měli mít plná práva v adopci dětí",", který si myslí, že vstup do EU Česku prospěl","16 % voličů SPD má vysokoškolské vzdělání, ale 6 % voličů má základní vzdělání","65 % voličů SPD je nevěřících, ale 27 % voličů se identifikuje jako křesťané","32 % voličů SPD je z velkých měst, ale 17 % voličů je z malých vesnic","27 % voličů SPD patří k pětině obyvatel s největším příjmem, ale 17 % voličů k pětině obyvatel s nejmenším příjmem","0","","1","0.2","QID68","0","","364ac110-985e-11ef-a16f-2db144be007d",1,"Hlavní město Praha ",1,"Muž",75,1241664,"100.000+",1,"Střední s maturitou, vyšší odborné",10,0,15,0.166666666666667,15,0.166666666666667,10,0,30,0.666666666666667,"Over 60","Pirati","High"
"6","2024-11-01 15:36:01","2024-11-01 15:53:24","0","100","1042","1","2024-11-01 15:53:24","R_2BJHfQ6HoAdI98d","anonymous","CS","1","","0","0","",2,1,"","3","Elementary knowledge",0,0,"8","5","3","3","5","5","3","5","1","","1","8","SPOLU","1","1","10","","","","","7","","","","","2","","","","","1","S těmito lidmi vycházím velmi dobře, co se týče politiky, máme si hodně co říct, většinou se shodneme. Jsou to lidi, co také chtějí, aby na prvním místě byli oni a pak teprve migranti, válka atd. ","12.597","53.63","89.368","3","10","10","4","Záleželo by asi i na věku dotyčných osob, mladší mají jiní názory než když jsou pak starší. To že volí někoho jiného než já pro mně není problém, každý volí podle vlastního uvážení. Mám přátelé co mají stejné názory a volí ty samé co já a pak mám přátelé se kterými se sice neshodnu, ale přátelé i tak jsme protože až na jejich volbu jsou fajn. Když byli volby prezidenta České republiky, většina z nich volila Andreje Babiše, ne kvůli tomu že by ho měli v oblibě ale kvůli tomu, že nechtěli válku. Já bych taky radši pana Babiše. Pan prezident Pavel je bývalý generál, tam je jisté, že se do války hrne. Bylo to tak v historii snad pokaždé. Takže tím, že vyhrál pan Pavel, jsem si jistá, že nakonec válka bude. Koalice Spolu také slibovala hory doly a místo toho podporují válku. Takže lidí kteří volili pana Pavla a Spolu, mám sice takové přátelé ale skrze jejich volbu si také moc nerozumíme. Česká republika by měla volit takové kandidáty, co budou hledět na ČESKÉ občany a ne na občany jiných zemí. To ale bohužel tady není. ","12.7","388.575","389.101","2","4","9","3","0","10",7,10,13,6,10,14,5,10,15,15,15,0,18,4,8,"5","5","3","3","2","1","2","2","4","2","5","3","2","3","2","","540ef900-985e-11ef-82b7-77ab6ce6b4a6","křesťanského přesvědčení","s vysokoškolským vzděláním","se základním vzděláním","s vysokým příjmem","s vysokým příjmem","s nízkým příjmem","s vysokým příjmem","z většího města","s nízkým příjmem","z malé vesnice",", který si myslí, že gayové a lesby by měli mít plná práva v adopci dětí",", který si myslí, že vstup do EU Česku prospěl",", který si myslí, že gayové a lesby nemají mít práva v adopci dětí",", který si myslí, že stát každý je sám zopodvědný za svůj blahobyt, a ne stát",", který si myslí, že stát každý je sám zopodvědný za svůj blahobyt, a ne stát","","","","","0","","4","0.8","QID140,QID159,QID164,QID68","0","","540ef900-985e-11ef-82b7-77ab6ce6b4a6",3,"Jihočeský ",2,"Žena",29,247,"1 - 499",0,"Střední bez maturity",7,-0.1,14,0.133333333333333,5,-0.166666666666667,15,0.166666666666667,18,0.266666666666667,"Below 35","ANO","Low"
"7","2024-11-01 15:40:09","2024-11-01 15:54:36","0","100","867","1","2024-11-01 15:54:37","R_2vY5qkqbwBJ4ugG","anonymous","CS","1","","0","0","",1,1,"","2","Elementary knowledge",1,0,"0","0","0","0","0","0","0","0","8","Strana svobodných občanů ","1","1","","3","3","0","","","","","0","","","","","0","","","","","1","Vyměnit všechny politiky ","18.6","18.6","35.501","1","5","9","3","Nevím moc mě politické názory nezajímají ","8.86","27.56","50.621","2","5","9","3","0","10",10,10,10,10,10,10,30,0,0,30,0,0,28,2,0,"5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","0","3f7d5ac0-985e-11ef-8766-b52ce03b5a7d","s vysokým příjmem","s vysokoškolským vzděláním","se základním vzděláním","s vysokým příjmem","s vysokým příjmem","se základním vzděláním","s vysokým příjmem","se vysokoškolským vzděláním","s nízkým příjmem","ateistického přesvědčení",", který si myslí, že gayové a lesby by měli mít plná práva v adopci dětí",", který si myslí, že stát by se měl postarat o blahobyt každého",", který si myslí, že gayové a lesby nemají mít práva v adopci dětí",", který si myslí, že gayové a lesby by měli mít plná práva v adopci dětí",", který si myslí, že stát každý je sám zopodvědný za svůj blahobyt, a ne stát","19 % voličů ANO má vysokoškolské vzdělání, ale 7 % voličů má základní vzdělání","58 % voličů ANO je nevěřících, ale 40 % voličů se identifikuje jako křesťané","25 % voličů ANO je z velkých měst, ale 23 % voličů je z malých vesnic","25 % voličů ANO patří k pětině obyvatel s největším příjmem, ale 17 % voličů k pětině obyvatel s nejmenším příjmem","0","","5","1","QID68,QID164,QID140,QID159,QID138","0","","3f7d5ac0-985e-11ef-8766-b52ce03b5a7d",6,"Ústecký ",1,"Muž",51,20349,"20.000 - 99.999",1,"Střední s maturitou, vyšší odborné",10,0,10,0,30,0.666666666666667,30,0.666666666666667,2,-0.266666666666667,"45 to 60","Other","Medium"
"8","2024-11-01 15:36:24","2024-11-01 15:56:16","0","100","1191","1","2024-11-01 15:56:17","R_8PpMXzrmrypjecM","anonymous","CS","1","","0","0","",0,1,"","3","No knowledge",0,0,"1","1","1","1","1","1","1","1","9","","1","5","","4","4","","","0","","","","","2","","","","","2","","","1","nevím, o politice se s nikým nebavím","18.306","29.488","44.192","2","5","9","3","nevím, o politice se s lidmi nebavím","7.714","7.714","19.367","1","5","9","3","0","10",5,10,15,15,10,5,15,10,5,20,10,0,5,10,15,"5","4","4","4","3","2","3","3","3","3","4","1","3","3","4","1","5133ab70-985e-11ef-88f9-8ff02db6e3d5","s vysokoškolským vzděláním","s vysokoškolským vzděláním","se základním vzděláním","s vysokým příjmem","s vysokoškolským vzděláním","ateistického přesvědčení","se základním vzděláním","se vysokoškolským vzděláním","s nízkým příjmem","se základním vzděláním",", který si myslí, že vstup do EU Česku uškodil",", který si myslí, že gayové a lesby by měli mít plná práva v adopci dětí",", který si myslí, že vstup do EU Česku uškodil",", který si myslí, že vstup do EU Česku prospěl",", který si myslí, že vstup do EU Česku prospěl","25 % voličů Pirátů má vysokoškolské vzdělání, ale 9 % voličů má základní vzdělání","73 % voličů Pirátů je nevěřících, ale 25 % voličů se identifikuje jako křesťané","26 % voličů Pirátů je z velkých měst, ale 26 % voličů je také z malých vesnic","32 % voličů Pirátů patří k pětině obyvatel s největším příjmem, ale 10 % voličů k pětině obyvatel s nejmenším příjmem","0","","5","1","QID68,QID164,QID140,QID159,QID138","0","","5133ab70-985e-11ef-88f9-8ff02db6e3d5",1,"Hlavní město Praha ",2,"Žena",51,1241664,"100.000+",2,"Vysokoškolské",15,0.166666666666667,15,0.166666666666667,15,0.166666666666667,20,0.333333333333333,5,-0.166666666666667,"45 to 60",NA,"High"
"9","2024-11-01 15:41:43","2024-11-01 15:58:03","0","100","979","1","2024-11-01 15:58:04","R_2fjR1kf45rwjlne","anonymous","CS","1","","0","0","",1,1,"","1","Elementary knowledge",0,0,"5","0","0","10","10","0","0","0","11","","1","2","","3","3","","0","","","10","","0","","","10","","0","","","0","1","Mě spíš zajímá proč se USAci o nás tolik zajímají. Kam USA šlape je problém či valka","8.008","81.817","136.169","3","10","9","3","Mají svobodné právo mít jiný názor. ","13.297","36.829","48.849","3","1","1","3","0","10",10,15,5,5,15,10,25,5,0,20,10,0,25,5,0,"5","5","5","5","5","3","1","5","5","1","5","1","1","5","1","","1ee76c20-985e-11ef-b252-7d3cbd63e471","křesťanského přesvědčení","s vysokoškolským vzděláním","z malé vesnice","s vysokým příjmem","z většího města","s nízkým příjmem","se základním vzděláním","z většího města","s nízkým příjmem","s nízkým příjmem",", který si myslí, že gayové a lesby by měli mít plná práva v adopci dětí",", který si myslí, že gayové a lesby by měli mít plná práva v adopci dětí",", který si myslí, že stát každý je sám zopodvědný za svůj blahobyt, a ne stát",", který si myslí, že gayové a lesby by měli mít plná práva v adopci dětí",", který si myslí, že stát každý je sám zopodvědný za svůj blahobyt, a ne stát","","","","","0","","2","0.4","QID164,QID68","0","","1ee76c20-985e-11ef-b252-7d3cbd63e471",6,"Ústecký ",1,"Muž",29,18062,"5.000 - 19.999",1,"Střední s maturitou, vyšší odborné",15,0.166666666666667,15,0.166666666666667,25,0.5,20,0.333333333333333,25,0.5,"Below 35","KSCM","Medium"
"10","2024-11-01 15:42:19","2024-11-01 15:58:15","0","100","956","1","2024-11-01 15:58:16","R_2TYwdxfTkSAjhXR","anonymous","CS","1","","0","0","",0,1,"","1","Moderate knowledge",2,2,"0","10","3","0","0","7","7","7","2","","1","3","","3","3","","10","","0","","","10","","0","","","2","","6","","1","Jsou to lidé, kterým není lhostejná budoucnost tohoto státu a Evropy. Jsou ochotni se ""uskrovnit"" a jsou schopni se postarat o sebe a nespoléhají, že za ně všechno stát vyřeší. Nečerpají žádné sociální dávky a chtějí ""štíhlejší"" stát.","11.16","11.16","161.859","1","10","10","4","Mně nevadí lidé s jiným politickým názorem, pokud se kvůli tomu nechovají arogantně. Vadí mi směrování populistických stran, které strhávají voliče příslibem nereálných cílů a v horším případě dělají velké zbytečné dluhy, pokud jsou zvoleni (Ano)","17.375","17.375","172.075","1","5","8","2","0","10",5,10,15,15,10,5,5,10,15,10,10,10,0,0,30,"7","2","1","3","3","2","4","2","1","4","4","2","5","4","2","0","415437b0-985e-11ef-9ce6-bfdc73c5c95a","s vysokým příjmem","s nižším příjmem","z malé vesnice","s vysokým příjmem","křesťanského přesvědčení","ateistického přesvědčení","s vysokým příjmem","se vysokoškolským vzděláním","s nízkým příjmem","se základním vzděláním",", který si myslí, že stát každý je sám zopodvědný za svůj blahobyt, a ne stát",", který si myslí, že stát by se měl postarat o blahobyt každého",", který si myslí, že stát každý je sám zopodvědný za svůj blahobyt, a ne stát",", který si myslí, že vstup do EU Česku prospěl",", který si myslí, že vstup do EU Česku prospěl","16 % voličů SPD má vysokoškolské vzdělání, ale 6 % voličů má základní vzdělání","65 % voličů SPD je nevěřících, ale 27 % voličů se identifikuje jako křesťané","32 % voličů SPD je z velkých měst, ale 17 % voličů je z malých vesnic","27 % voličů SPD patří k pětině obyvatel s největším příjmem, ale 17 % voličů k pětině obyvatel s nejmenším příjmem","0","","1","0.2","QID68","0","","415437b0-985e-11ef-9ce6-bfdc73c5c95a",1,"Hlavní město Praha ",1,"Muž",55,1241664,"100.000+",2,"Vysokoškolské",15,0.166666666666667,15,0.166666666666667,15,0.166666666666667,10,0,30,0.666666666666667,"45 to 60","ODS","High"
