ResponseId,party,open_ingroup,open_outgroup,in_middle_class,in_hardworking,in_reasonable,in_normal_ordinary,in_family_values,in_freedom,in_responsibility,in_similar_same,in_uneducated,in_selfish,in_disinformation,in_easily_influenced,in_rich_elite,in_populist,in_party_ano,in_party_spd,in_party_government,in_dont_know,in_tolerant,out_middle_class,out_hardworking,out_reasonable,out_normal_ordinary,out_family_values,out_freedom,out_responsibility,out_similar_same,out_uneducated,out_selfish,out_disinformation,out_easily_influenced,out_rich_elite,out_populist,out_party_ano,out_party_spd,out_party_government,out_dont_know,out_tolerant
R_8YWZCGjcRk3Jz3Y,ANO,Vytrvalý ke všemu. Postoj je všemu co má logiku ,Povaha a chování k lidem. Postoj k pozitivite,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_8cbkJWBM3ovdnVv,ODS,"většinou jsou to lidé se kterými mám společného více než jen politické přesvědčení. Aktivní, úspěšní, 
",Jsou to prostě jen lidi s odlišným názorem,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_2dLzeylrMxEul48,ANO,"Jsou super, dá se s nima dohodnout ",Mě tohle lidé vůbec nezajímají ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_8qQhZrKE0tRzz1Q,ODS,Vysokoškoláci či lidé s maturitním vzděláním s průměrnými či nprůměrnými příjmy,"Nejvíce se mé názory liší od lidí důchodového věku s podprůměrnými příjmy, či lidí se základním vzděláním s podprůměrnými příjmy",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_80Bfuw18cVJOOvD,Pirati,Mají rozhled a vidí do budoucna.,"Primitivové, kteří nevidí souvislosti.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_2BJHfQ6HoAdI98d,ANO,"S těmito lidmi vycházím velmi dobře, co se týče politiky, máme si hodně co říct, většinou se shodneme. Jsou to lidi, co také chtějí, aby na prvním místě byli oni a pak teprve migranti, válka atd. ","Záleželo by asi i na věku dotyčných osob, mladší mají jiní názory než když jsou pak starší. To že volí někoho jiného než já pro mně není problém, každý volí podle vlastního uvážení. Mám přátelé co mají stejné názory a volí ty samé co já a pak mám přátelé se kterými se sice neshodnu, ale přátelé i tak jsme protože až na jejich volbu jsou fajn. Když byli volby prezidenta České republiky, většina z nich volila Andreje Babiše, ne kvůli tomu že by ho měli v oblibě ale kvůli tomu, že nechtěli válku. Já bych taky radši pana Babiše. Pan prezident Pavel je bývalý generál, tam je jisté, že se do války hrne. Bylo to tak v historii snad pokaždé. Takže tím, že vyhrál pan Pavel, jsem si jistá, že nakonec válka bude. Koalice Spolu také slibovala hory doly a místo toho podporují válku. Takže lidí kteří volili pana Pavla a Spolu, mám sice takové přátelé ale skrze jejich volbu si také moc nerozumíme. Česká republika by měla volit takové kandidáty, co budou hledět na ČESKÉ občany a ne na občany jiných zemí. To ale bohužel tady není. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
R_2vY5qkqbwBJ4ugG,Other,Vyměnit všechny politiky ,Nevím moc mě politické názory nezajímají ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
R_8PpMXzrmrypjecM,,"nevím, o politice se s nikým nebavím","nevím, o politice se s lidmi nebavím",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
R_2fjR1kf45rwjlne,KSCM,Mě spíš zajímá proč se USAci o nás tolik zajímají. Kam USA šlape je problém či valka,Mají svobodné právo mít jiný názor. ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
R_2TYwdxfTkSAjhXR,ODS,"Jsou to lidé, kterým není lhostejná budoucnost tohoto státu a Evropy. Jsou ochotni se ""uskrovnit"" a jsou schopni se postarat o sebe a nespoléhají, že za ně všechno stát vyřeší. Nečerpají žádné sociální dávky a chtějí ""štíhlejší"" stát.","Mně nevadí lidé s jiným politickým názorem, pokud se kvůli tomu nechovají arogantně. Vadí mi směrování populistických stran, které strhávají voliče příslibem nereálných cílů a v horším případě dělají velké zbytečné dluhy, pokud jsou zvoleni (Ano)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
