respondent_idx,mds_dim1,mds_dim2,party,ingroup_text
0,0.498463810585103,0.6240549846600113,ANO,Vytrvalý ke všemu. Postoj je všemu co má logiku 
1,-0.17544851012258014,0.4853130226744786,ODS,"většinou jsou to lidé se kterými mám společného více než jen politické přesvědčení. Aktivní, úspěšní, 
"
2,0.2875988472161466,-0.5668419359056622,ANO,"Jsou super, dá se s nima dohodnout "
3,-0.5878456753781005,0.09829285126467359,ODS,Vysokoškoláci či lidé s maturitním vzděláním s průměrnými či nprůměrnými příjmy
4,0.1823987760385305,0.6765993572112095,Pirati,Mají rozhled a vidí do budoucna.
5,0.2350191635579801,0.49879862345034714,ANO,"S těmito lidmi vycházím velmi dobře, co se týče politiky, máme si hodně co říct, většinou se shodneme. Jsou to lidi, co také chtějí, aby na prvním místě byli oni a pak teprve migranti, válka atd. "
6,0.6968498593146355,-0.2415344247595257,Other,Vyměnit všechny politiky 
7,0.29685586742544956,-0.6609556773769119,Unknown,"nevím, o politice se s nikým nebavím"
8,-0.740476931247966,0.23772196964649459,KSCM,Mě spíš zajímá proč se USAci o nás tolik zajímají. Kam USA šlape je problém či valka
9,0.11832168449701444,-0.12301291648058914,ODS,"Jsou to lidé, kterým není lhostejná budoucnost tohoto státu a Evropy. Jsou ochotni se ""uskrovnit"" a jsou schopni se postarat o sebe a nespoléhají, že za ně všechno stát vyřeší. Nečerpají žádné sociální dávky a chtějí ""štíhlejší"" stát."
10,-0.6954392629556327,0.2607732338336475,Other,"Nejsou vyhraněni jedné straně, jedné politické ""ikoně"". Vždy volí podle aktuální situace, blízkého výhledu a programu, se kterým přijde strana či jednotlivec. Jsme ochotni dělat kompromisy. Nechceme jednorázové a dočasné řešení trvající jedno volební období . Akceptujeme nutnost vyvažování pravice a levice."
11,-0.013297345376992675,0.05088444602744634,ANO,Jsou to lidé kteří vnímají dnešní dění a jsou nespokojení 
13,0.029619458438829484,-0.7475813938662355,STAN,"normání týpci, střední vrstva"
14,0.37143132260286926,-0.6550778651013782,ANO,"Nevím, netuším. Opravdu nevím, co napsat "
15,-0.5235681644404935,0.3047887225212424,Unknown,"lidé pravicového myšlení, odmítající populismus a estremismus"
16,0.08195123243947144,-0.6495413280867094,Unknown,Nerozlišuji lidi podle politického zaměření
17,-0.4014880796847906,0.012536709063292248,Unknown,"Tito lidé jsou inteligentní. Nad věcmi přemýšlí, vidí ve věcech širší souvislosti."
18,0.7451630325794533,-0.03239970482094292,STAN,"Přátelští, nekonfliktní, zastávající názor. který nevnucují"
