respondent_idx,umap_dim1,umap_dim2,cluster,party,text
0,-3.4117298,7.003983,4,ANO,Vytrvalý ke všemu. Postoj je všemu co má logiku 
1,-3.4734287,6.9202414,4,ODS,"většinou jsou to lidé se kterými mám společného více než jen politické přesvědčení. Aktivní, úspěšní, 
"
2,-3.3550634,6.932863,4,ANO,"Jsou super, dá se s nima dohodnout "
3,-3.4813962,7.0919123,4,ODS,Vysokoškoláci či lidé s maturitním vzděláním s průměrnými či nprůměrnými příjmy
4,-3.3852983,6.990105,4,Pirati,Mají rozhled a vidí do budoucna.
5,-3.4226534,7.0638347,4,ANO,"S těmito lidmi vycházím velmi dobře, co se týče politiky, máme si hodně co říct, většinou se shodneme. Jsou to lidi, co také chtějí, aby na prvním místě byli oni a pak teprve migranti, válka atd. "
6,-3.3304439,6.92857,4,Other,Vyměnit všechny politiky 
7,-3.457724,7.0198207,4,Unknown,"nevím, o politice se s nikým nebavím"
8,-3.4156692,7.034863,4,KSCM,Mě spíš zajímá proč se USAci o nás tolik zajímají. Kam USA šlape je problém či valka
9,-3.3971176,6.9963284,4,ODS,"Jsou to lidé, kterým není lhostejná budoucnost tohoto státu a Evropy. Jsou ochotni se ""uskrovnit"" a jsou schopni se postarat o sebe a nespoléhají, že za ně všechno stát vyřeší. Nečerpají žádné sociální dávky a chtějí ""štíhlejší"" stát."
10,-3.3480723,6.9509907,4,Other,"Nejsou vyhraněni jedné straně, jedné politické ""ikoně"". Vždy volí podle aktuální situace, blízkého výhledu a programu, se kterým přijde strana či jednotlivec. Jsme ochotni dělat kompromisy. Nechceme jednorázové a dočasné řešení trvající jedno volební období . Akceptujeme nutnost vyvažování pravice a levice."
11,-3.3618186,6.998551,4,ANO,Jsou to lidé kteří vnímají dnešní dění a jsou nespokojení 
12,-3.3110867,6.8473845,4,ANO,nic........................ ............. ............. 
13,-3.2926958,7.021515,4,STAN,"normání týpci, střední vrstva"
14,-2.123477,3.4379382,1,ANO,"Nevím, netuším. Opravdu nevím, co napsat "
15,1.6609036,6.779762,3,Unknown,"lidé pravicového myšlení, odmítající populismus a estremismus"
16,1.2557374,3.4187279,0,Unknown,Nerozlišuji lidi podle politického zaměření
17,3.221392,6.958479,2,Unknown,"Tito lidé jsou inteligentní. Nad věcmi přemýšlí, vidí ve věcech širší souvislosti."
18,1.109964,7.872447,3,STAN,"Přátelští, nekonfliktní, zastávající názor. který nevnucují"
19,2.5899217,5.1325493,2,Pirati,Vzdělaní liberálně smýšlející jedinci 
20,1.3909017,6.073235,2,ANO,"Lidé, kteří se stále řídí masarykovským ""nebát se a nekrást"". Ať podnikají nebo jsou zaměstnaní, zajímavá práce je pro ně to hlavní a výraz ""řídit republiku jako firmu"" jim připadá jako vhodná forma řešení problémů - ani levice, ani pravice, ale technokratický pragmatický přístup. Jsou to lidé, kteří poctivě pracovali a starali se o své rodiny v dobách reálného socialismu a po krátkém otřesu z happeningu v r. 1989 pracují a starají se i nyní. "
21,1.5505774,4.958122,0,Other,"Takový lidé nejsou lhostejní k naší republice. Záleží jim na tom, abychom byli samostatná republika, ktera ekonomicky roste a je schopna se postarat o své obyvatele. Jsou to lidé s citem pro zodpovědnost, pracovitost, upřímnost a toleranci. "
22,0.011527627,3.7825594,0,STAN,"Jsou to fajn lidi, co respektuji ostatní "
23,0.7865656,2.9175937,0,STAN,Rada s nimi diskutuji o tomto tematu
24,3.2784445,5.535896,2,STAN,Jako rozumní lidi co mají nadledl nad společností 
25,2.4773443,3.9057336,0,ANO,mají stejné nebo podobné názory a jsou schopni uznat názory jiných
26,1.895335,2.8949625,0,ANO,"Opět musím konstatovat,mají právo na svůj názor a mohou se s mým názorem ztotožnit.budou mi sympatičtí."
27,-0.7938306,6.691147,4,ANO,"Důchodci, kterým tato vláda ukradla podvodně zákonné navýšení duchodu a změnila záměrně zákon "
28,0.972064,3.6828494,0,ODS,"Jsou schopni vést dialog a naslouchat názoru diskutujícím.
Předpokládám znalost základních pojmů a chápání diskutovaného problému
Očekávám slušnost a vzájemnou úctu bez ohledu na postavení účastníků diskuse."
29,2.6895666,6.398949,2,Unknown,Podporují rovnoprávnost manželství pro všechny. Adopci gayů. Doživotní tresty za sexuální zneužívání dětí a znásilnění. Podporuje českou korunu. Zavedl by znovu Trest smrti. K volbám nechodí protože jeden hlas nemůže ovlivnit názor většiny v této zemi plné ovcí. 
30,-1.7958683,3.3899927,1,Unknown,nevím co mám napsat. nevím nevím
31,1.6089854,8.320642,3,ANO,"lidé mírní, neagresivní, rádi pomáhají druhým, ochotní druhým vzdy pomoci"
32,-0.7095971,6.2800093,4,ODS,"Osoby, které podporují rodiny s dětmi a nenechají je žít z almužny. Zajímají se o ekologii a životní prostředí."
33,1.0213046,6.962261,3,Unknown,"Myslí hlavou. Dívají se, hodnotí a analyzují z více pohledů situaci. Mluví pravdu a nelžou. Vychází z faktů a nelze svých přání. Nelezou někam."
34,0.9043265,6.3578167,3,STAN,"Nestěžuji si, jsou pracovití a užívají si zivota"
35,-2.129762,5.1632376,4,ANO,"Premysli, kdyz jim neco nevyhovuje ozvu se, necekaji ze se veci vyresi sami"
